title,topic,url,total_feedback_check,EU citizen,Non-EU citizen,Academic/research Institution,Company/business,Business association,Non-governmental organisation (NGO),Other,Trade union,Environmental organisation,Public authority,Consumer organisation,index_ref,Prefer not to answer
Sustainable and Smart Mobility StrategyTopicTransportType of actCommunicationFeedback period01 July 2020 - 23 September 2020,Transport,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12438-Sustainable-and-Smart-Mobility-Strategy/feedback_en?p_id=13249,246.0,35,1.0,5.0,72.0,69.0,24.0,13.0,3.0,4.0,17.0,3.0,50.0,0.0
Energy efficiency – Revision of the Energy Performance of Buildings DirectiveTopicEnergyType of actProposal for a directiveFeedback period30 March 2021 - 22 June 2021,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12910-Energy-efficiency-Revision-of-the-Energy-Performance-of-Buildings-Directive/feedback_en?p_id=14213,243.0,9,1.0,4.0,62.0,90.0,44.0,14.0,1.0,3.0,12.0,3.0,51.0,0.0
Pharmaceuticals – safe and affordable medicines (new EU strategy)TopicPublic healthType of actCommunicationFeedback period16 June 2020 - 15 September 2020,Public health,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12421-Pharmaceuticals-safe-and-affordable-medicines-new-EU-strategy-/feedback_en?p_id=13130,242.0,18,1.0,17.0,52.0,46.0,62.0,24.0,1.0,0.0,17.0,2.0,52.0,0.0
Certification of carbon removals – EU rulesTopicClimate actionType of actProposal for a regulationFeedback period07 February 2022 - 02 May 2022,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13172-Certification-of-carbon-removals-EU-rules/feedback_en?p_id=15602,231.0,41,1.0,11.0,66.0,46.0,42.0,14.0,2.0,5.0,2.0,0.0,53.0,0.0
Sustainable EU food system –new initiativeTopicFood safetyType of actProposal for a regulationFeedback period28 April 2022 - 21 July 2022,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13174-Sustainable-EU-food-system-new-initiative/feedback_en?p_id=15097,230.0,39,1.0,8.0,32.0,70.0,49.0,12.0,1.0,8.0,8.0,2.0,54.0,0.0
EU strategy for sustainable textilesTopicEnvironmentType of actCommunicationFeedback period12 May 2021 - 04 August 2021,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12822-EU-strategy-for-sustainable-textiles/feedback_en?p_id=14017,229.0,26,2.0,20.0,51.0,47.0,49.0,11.0,2.0,8.0,13.0,0.0,55.0,0.0
Healthy soils – new EU soil strategyTopicEnvironmentType of actCommunicationFeedback period02 February 2021 - 27 April 2021,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12634-Healthy-soils-new-EU-soil-strategy/feedback_en?p_id=13756,228.0,63,0.0,35.0,30.0,27.0,20.0,16.0,2.0,13.0,22.0,0.0,56.0,0.0
New product priorities for Ecodesign for Sustainable ProductsTopicEnvironmentType of actCommunicationFeedback period31 January 2023 - 12 May 2023,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13682-New-product-priorities-for-Ecodesign-for-Sustainable-Products/feedback_en?p_id=16700,227.0,44,1.0,5.0,56.0,96.0,12.0,6.0,2.0,2.0,3.0,0.0,57.0,0.0
Commercial vehicles – weights and dimensions (evaluation)TopicTransportType of actProposal for a directiveFeedback period26 April 2022 - 19 July 2022,Transport,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13278-Commercial-vehicles-weights-and-dimensions-evaluation-/feedback_en?p_id=15545,224.0,28,1.0,2.0,88.0,84.0,5.0,4.0,3.0,0.0,7.0,2.0,58.0,0.0
"EU Green Deal (carbon border adjustment mechanism)TopicClimate action, Customs, Taxation, TradeType of actProposal for a regulationFeedback period22 July 2020 - 28 October 2020","Climate action, Customs, Taxation, Trade",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12228-EU-Green-Deal-carbon-border-adjustment-mechanism-/feedback_en?p_id=12842,224.0,19,2.0,11.0,62.0,91.0,20.0,5.0,6.0,3.0,4.0,1.0,59.0,0.0
Vehicle safety – revising the EU’s roadworthiness packageTopicTransportType of actProposal for a directiveFeedback period06 July 2022 - 28 September 2022,Transport,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13132-Vehicle-safety-revising-the-EUs-roadworthiness-package/feedback_en?p_id=15132,217.0,171,3.0,1.0,7.0,10.0,6.0,9.0,0.0,0.0,2.0,4.0,60.0,0.0
Anti-racism StrategyTopicJustice and fundamental rightsType of actCommunicationFeedback period15 April 2025 - 08 July 2025,Justice and fundamental rights,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14552-Anti-racism-Strategy/feedback_en?p_id=19524,207.0,78,7.0,4.0,0.0,2.0,81.0,17.0,3.0,0.0,8.0,1.0,61.0,0.0
"Industrial carbon management – carbon capture, utilisation and storage deploymentTopicEnergyType of actCommunicationFeedback period08 June 2023 - 31 August 2023",Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13848-Industrial-carbon-management-carbon-capture-utilisation-and-storage-deployment/feedback_en?p_id=17029,205.0,21,3.0,6.0,83.0,48.0,21.0,13.0,1.0,4.0,5.0,0.0,62.0,0.0
Deforestation and forest degradation – stepping up EU actionTopicEnvironmentFeedback period14 January 2019 - 25 February 2019,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/2027-Deforestation-and-forest-degradation-stepping-up-EU-action/feedback_en?p_id=11445,202.0,114,19.0,4.0,5.0,12.0,30.0,8.0,0.0,8.0,2.0,0.0,63.0,0.0
Environmental impact of waste management – revision of EU waste frameworkTopicEnvironmentType of actProposal for a directiveFeedback period24 May 2022 - 24 August 2022,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13225-Environmental-impact-of-waste-management-revision-of-EU-waste-framework/feedback_en?p_id=15560,198.0,19,1.0,1.0,58.0,70.0,31.0,5.0,2.0,5.0,6.0,0.0,64.0,0.0
Rural development – long-term vision for rural areasTopicAgriculture and rural developmentType of actCommunicationFeedback period07 September 2020 - 30 November 2020,Agriculture and rural development,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12525-Rural-development-long-term-vision-for-rural-areas/feedback_en?p_id=13334,198.0,45,1.0,9.0,11.0,18.0,50.0,27.0,1.0,4.0,32.0,0.0,65.0,0.0
